Program,University,Country,Christian (denomination),Length (part-time),Capstone type,Tuition (original),Approx CAD,Status,Notes
DBA (17 tracks),Liberty University,USA,Yes - evangelical / Baptist,~3 yr (60 cr),Applied Doctoral Research Project,"US$40,500","CA$55,500",Verify - login courses,"Generic site disclaimer re possible scheduled meetings/travel/login; DBA pages say no required intensives and colloquium is optional - confirm your specialization has zero required-login courses. 60 cr @ $675 PT."
EdD - Christian Leadership,Liberty University,USA,Yes - evangelical / Baptist,54 cr (~3 yr),Dissertation-in-praxis (2-phase applied praxis project),"US$36,450","CA$49,900",Confirmed,"100% online, no set login times, no required intensives."
EdD - general / C&I,Liberty University,USA,Yes - evangelical / Baptist,~3.5 yr (54 cr),Applied Doctoral Research project (EDUC 887/888),"US$36,450","CA$49,900",Verify - capstone,"Choose a no-required-intensives track. Capstone is manuscript-style (proposal, Ch 1-3, defense) - an applied dissertation, more dissertation-like than a portfolio."
DMin (15+ tracks),Liberty University,USA,Yes - evangelical / Baptist,~3 yr (30 cr),Thesis project OR Portfolio (15 cr),"US$12,300","CA$16,900",Confirmed,"Async, no required intensives. $410/cr PT; block-rate billing may change total. Lowest-cost US option."
DBA,Touro University Worldwide,USA,No - Jewish-sponsored,~2 yr (48 cr),Applied doctoral research project,"US$33,600","CA$46,000",Confirmed,"Cleanest async confirmation: 100% online, no residency, no fixed class times. Lowest-cost DBA. 48 cr @ $700."
DBA - Applied Doctoral Project track,Trevecca Nazarene University,USA,Yes - Church of the Nazarene,32 mo (60 cr),Applied Doctoral Project (choose this pathway),"US$41,940 + fees","CA$57,500+",Verify - Zoom optional?,"No residency, never step foot on campus. Some faculty offer Zoom/weekly videos - confirm these are optional/recorded. +~$300/course fees."
DMin,Grace Theological Seminary,USA,Yes - Grace Brethren / evangelical,~3 yr (30 cr),Final doctoral project,"US$19,680","CA$27,000",Confirmed,"All seminars online, no campus requirement; delivered asynchronously (optional limited live interactions). Avoid the campus-based Hybrid Church track."
DMin,Knox Theological Seminary,USA,Yes - Reformed,3-5 yr (30 cr),DM999 Major Project (6 cr),"US$21,600","CA$29,600",Confirmed,"May be taken entirely online; campus intensives optional; asynchronous (self-paced, submit by end of week)."
DMin (2 concentrations),Regent University,USA,Yes - charismatic / Pentecostal,~5-6 yr (36 cr),Original D.Min. research / ministry project,"US$24,120 + fees","CA$33,000",Verify - async?,"ATS-approved completely online with no residency, but async not explicitly stated on DMin pages - confirm. Regent's DSL fails on required virtual residencies. +~$750/term fee."
DMin,Carey Theological College,Canada,Yes - Baptist (CBWC),3 yr (30 cr),Doctoral Thesis (ministry / applied),"CA$13,500","CA$13,500",Verify - live/thesis,"Fully online, no residency, incl. graduation; self-paced 10-wk courses (async implied). Capstone labeled thesis - confirm it counts as applied/ministry. Best Canada-based & lowest-cost overall."
Professional Practice DProf (Business),Middlesex University,UK,No,~4 yr,Work-based capstone research project + online viva,Not published (request),Request quote,Confirmed - fee unknown,"Strongest work-based, non-dissertation fit. No residencies/summer schools/block teaching; only an online induction day. Quote via professionals@mdx.ac.uk."
Executive DBA,Aston University,UK,No,4-6 yr,Applied doctoral thesis + two online vivas,"GBP 39,000","CA$67,900",Verify - thesis borderline,"Fully async, no compulsory live lectures. Output is a thesis (borderline on no-dissertation rule, but applied/practice-focused). Triple-accredited business school."
PhD by Published Work,University of Westminster,UK,No,1-2 yr,Thesis-by-publication (portfolio + 15k-word commentary + viva),Part-time PhD fee (verify),Request quote,Verify,"Requires an existing body of published work (retrospective route, not entry-level). Async/online + Canadian eligibility not fully verified."
PhD by Published Work,York St John University,UK,No,Varies,Thesis-by-publication (portfolio + critical review + viva),Part-time PhD fee (verify),Request quote,Verify,"Requires existing publications. Good fallback if already publishing."
DMin,Midwestern Baptist Theological Seminary,USA,Yes - Southern Baptist,Varies,DMin doctoral project (unconfirmed),Verify,Verify,Likely - unverified,"Global Campus advertises zero residency + asynchronous, but handbook/tuition page could not be read directly. Confirm capstone name and tuition."
